CVE_ENT,CVE_MUN,NOM_MUN,Microcuenca
29,1,Amaxac de Guerrero,1
29,5,Apizaco,1
29,3,Atlangatepec,1
29,9,Cuaxomulco,1
29,11,Muñoz de Domingo Arenas,1
29,52,San José Teacalco,1
29,55,San Lucas Tecopilco,1
29,26,Santa Cruz Tlaxcala,1
29,31,Tetla de la Solidaridad,1
29,34,Tlaxco,1
29,35,Tocatlán,1
29,38,Tzompantepec,1
29,39,Xaloztoc,1
29,40,Xaltocan,1
29,43,Yauhquemehcan,1
29,2,Apetatitlán de Antonio Carvajal,2
29,10,Chiautempan,2
29,18,Contla de Juan Cuamatzi,2
29,14,Hueyotlipan,2
29,24,Panotla,2
29,49,San Damián Texóloc,2
29,50,San Francisco Tetlanohcan,2
29,51,San Jerónimo Zacualpan,2
29,53,San Juan Huactzinco,2
29,56,Santa Ana Nopalucan,2
29,57,Santa Apolonia Teacalco,2
29,32,Tetlatlahuca,2
29,33,Tlaxcala,2
29,36,Totolac,2
29,22,Acuamanala de Miguel Hidalgo,3
29,48,La Magdalena Tlaltelulco,3
29,54,San Lorenzo Axocomanitla,3
29,58,Santa Catarina Ayometla,3
29,59,Santa Cruz Quilehtla,3
29,60,Santa Isabel Xiloxoxtla,3
29,28,Teolocholco,3
29,29,Tepeyanco,3
29,44,Zacatelco,3
21,41,Cuautlancingo,4
29,17,Mazatecochco de José María Morelos,4
29,41,Papalotla de Xicohténcatl,4
21,114,Puebla,4
29,25,San Pablo del Monte,4
29,27,Tenancingo,4
21,15,Amozoc,4
21,26,Calpan,5
21,60,Domingo Arenas,5
21,90,Juan C. Bonilla,5
21,106,Ocoyucan,5
21,119,San Andrés Cholula,5
21,125,San Gregorio Atzompa,5
21,140,San Pedro Cholula,5
21,181,Tlaltenango,5
29,15,Ixtacuixtla de Mariano Matamoros,6
21,48,Chiautzingo,6
21,34,Coronango,6
29,12,Españita,6
21,74,Huejotzingo,6
29,23,Natívitas,6
21,132,San Martín Texmelucan,6
21,136,San Miguel Xoxtla,6
29,19,Tepetitla de Lardizábal,6
29,42,Xicohtzinco,6
21,122,San Felipe Teotlalcingo,7
21,134,San Matías Tlalancaleca,7
21,143,San Salvador el Verde,7
21,180,Tlahuapan,7
